disease_id,gene,disease_name,omim_id,inheritance,phenotype_concern_list
D0370,LDLR,Homozygous Familial hypercholesterolemia-1,OMIM:143890,AR,skin concern
D0501,PPP2R5D,Houge-Janssens syndrome 1,OMIM:616355,AD,developmental delay concern; fatigability / low stamina concern; gait / coordination concern; gastrointestinal concern; growth / weight concern; language / cognitive concern; seizure-like event concern; vision / ocular tracking concern
D0323,HSD17B10,HSD10 mitochondrial disease,OMIM:300438,XLD,developmental delay concern; developmental regression concern; hearing concern; language / cognitive concern; respiratory / cardiopulmonary concern; seizure-like event concern; social interaction / behavioral concern; vision / ocular tracking concern
D0460,PCSK9,"Hypercholesterolemia, familial, 3",OMIM:603776,AD,skin concern
D0374,LIAS,"Hyperglycinemia, lactic acidosis, and seizures",OMIM:614462,AR,developmental delay concern; feeding / swallowing concern; gastrointestinal concern; growth / weight concern; musculoskeletal concern; respiratory / cardiopulmonary concern; respiratory concern; seizure-like event concern
D0417.2,MVK,Mevalonate kinase deficiency,OMIM:610377,AR,developmental delay concern; gait / coordination concern; gastrointestinal concern; growth / weight concern; language / cognitive concern; musculoskeletal concern; seizure-like event concern
D0207,DOCK8,"Hyper-IgE recurrent infection syndrome, autosomal recessive",OMIM:243700,AR,gastrointestinal concern; growth / weight concern; hematologic / bleeding concern; musculoskeletal concern; recurrent / unusual infection concern; respiratory concern; skin concern
D0292,GLUD1,Hyperinsulinism-hyperammonemia syndrome,OMIM:606762,AD,developmental delay concern; gastrointestinal concern; growth / weight concern; language / cognitive concern; seizure-like event concern
D0296,GPIHBP1,"Hyperlipoproteinemia, type 1D",OMIM:615947,AR,gastrointestinal concern; growth / weight concern; recurrent / unusual infection concern; skin concern
D0050,APOC2,"Hyperlipoproteinemia, type Ib",OMIM:207750,AR,gastrointestinal concern; recurrent / unusual infection concern; skin concern
D0584,SLC30A10,Hypermanganesemia with dystonia 1,OMIM:613280,AR,gait / coordination concern; gastrointestinal concern; language / cognitive concern
D0028,AHCY,Hypermethioninemia with deficiency of S-adenosylhomocysteine hydrolase,OMIM:613752,AR,developmental delay concern; gastrointestinal concern; growth / weight concern; language / cognitive concern; motor weakness concern; respiratory / cardiopulmonary concern; vision / ocular tracking concern
D0388,MAT1A,"Hypermethioninemia, persistent, autosomal dominant, due to methionine adenosyltransferase I/III deficiency",OMIM:250850,AD,developmental delay concern; language / cognitive concern
D0576,SLC25A15,Hyperornithinemia-hyperammonemia-homocitrullinuria syndrome,OMIM:238970,AR,developmental delay concern; gait / coordination concern; gastrointestinal concern; growth / weight concern; language / cognitive concern; recurrent / unusual infection concern; renal / urinary concern; seizure-like event concern
D0027,AGXT,"Hyperoxaluria, primary, type 1",OMIM:259900,AR,musculoskeletal concern; renal / urinary concern; skin concern
D0298,GRHPR,"Hyperoxaluria, primary, type II",OMIM:260000,AR,renal / urinary concern
D0319,HOGA1,"Hyperoxaluria, primary, type III",OMIM:613616,AR,renal / urinary concern
D0510,PTS,Hyperphenylalaninemia due to 6-pyruvoyl-tetrahydropterin synthase deficiency,OMIM:261640,AR,developmental delay concern; feeding / swallowing concern; gait / coordination concern; gastrointestinal concern; growth / weight concern; language / cognitive concern; seizure-like event concern; systemic red flag concern
D0511,QDPR,Hyperphenylalaninemia due to dihydropteridine reductase deficiency,OMIM:261630,AR,developmental delay concern; feeding / swallowing concern; gastrointestinal concern; language / cognitive concern; seizure-like event concern; systemic red flag concern
